Filename,Task,Identifier,Capture_Timestamp_ISO,Log_Line_Number,SHA256,BurnIn_Judgment
p2-06_t3_03_peak_vp.png,Task 3,#03 peak,2026-09-05T15:35:01Z,130,9d138f98d04f04ac159d2a7346ee6482f831608d9bded273fde2f0a83a96b6ad,PASS
p2-06_t3_03_peak_win.png,Task 3,#03 peak,2026-09-05T15:35:02Z,131,a6f5a30a56a3656ba61b3f9681b87002ad154b8b42f34da2cf6f698c9a539494,PASS
p2-06_t3_03_select_vp.png,Task 3,#03 select,2026-09-05T15:35:01Z,132,930fd5b6d3770792ad36aaa62df283936ac3af493f5de5b3e12d51a5fe9ac099,PASS
p2-06_t3_03_settled_vp.png,Task 3,#03 settled,2026-09-05T15:35:02Z,133,0d982fbd41bf3dc95a1f68590b174be85c63ee9a69c2e57874e0220592221c37,PASS
p2-06_t3_04_peak_vp.png,Task 3,#04 peak,2026-09-05T15:35:03Z,134,6bd5149d4d2b74994b2796739f5313d83feafd1983576e5dd00b5ac993f69364,FAIL
p2-06_t3_04_peak_win.png,Task 3,#04 peak,2026-09-05T15:35:03Z,135,86da071ad0b1cf322c6e1d9f9b8edbdd81416ba18921b60dedd5fd2769dacc15,FAIL
p2-06_t3_04_select_vp.png,Task 3,#04 select,2026-09-05T15:35:03Z,136,8d7d7ea5fe42e1a2cb60e42519ee9a0bc209a07f323f05cf913947f2889b9b23,FAIL
p2-06_t3_04_settled_vp.png,Task 3,#04 settled,2026-09-05T15:35:04Z,137,825eba127a2879b4460645eaae0845da849c7f27aab08d53d18474742a34c087,FAIL
p2-06_t3_05_peak_vp.png,Task 3,#05 peak,2026-09-05T15:35:05Z,138,a32abf3ce5e962f812ea606d64bc79442cfcd4c952d082fc3a32d18ca7bbc303,PASS
p2-06_t3_05_peak_win.png,Task 3,#05 peak,2026-09-05T15:35:05Z,139,63bac0cd14dd72801bc640e7d58537fb744361ce8206c9665af9e94aea6f3ef1,PASS
p2-06_t3_05_select_vp.png,Task 3,#05 select,2026-09-05T15:35:04Z,140,1aa7a793a263c6b0bfb8dbf9dc436136453101c8d0a4195472273575c55cc200,PASS
p2-06_t3_05_settled_vp.png,Task 3,#05 settled,2026-09-05T15:35:06Z,141,f3037a32e0b443c1fd7089662b5226a57dba9943840675bd1d597a1ad2dc4b46,PASS
p2-06_t3_06_peak_vp.png,Task 3,#06 peak,2026-09-05T15:35:07Z,142,74398f0e8abb573e0e6843c8f53e598f0f048145c5a85f71ec81f549733912ce,PASS
p2-06_t3_06_peak_win.png,Task 3,#06 peak,2026-09-05T15:35:07Z,143,4c093d7c762d81aa0121ae775df24db02b207b1f2a20e66cc552028e73a4a357,PASS
p2-06_t3_06_select_vp.png,Task 3,#06 select,2026-09-05T15:35:06Z,144,ae71a423c15425eeba04ec7c5b283d00d65c590c0749e58e33299d5e43440e3e,PASS
p2-06_t3_06_settled_vp.png,Task 3,#06 settled,2026-09-05T15:35:08Z,145,6415267e0473473e22d3f74b9855549a577190811a85290497ba81b409f317ea,PASS
p2-06_t3_07_peak_vp.png,Task 3,#07 peak,2026-09-05T15:35:08Z,146,3cafc67458d687204a0094479ad1758aa7992f72ffb2532a976832cee33ff1f9,PASS
p2-06_t3_07_peak_win.png,Task 3,#07 peak,2026-09-05T15:35:08Z,147,5c00ddde4f911a12a901b4fd1f8ac9d9c291b79c0e404a01bea530c4ba5f1d0f,PASS
p2-06_t3_07_select_vp.png,Task 3,#07 select,2026-09-05T15:35:08Z,148,704fb3311dcade73a29ec381622696226eded51bf7537dbfcd094f7178c1ad9f,PASS
p2-06_t3_07_settled_vp.png,Task 3,#07 settled,2026-09-05T15:35:09Z,149,5299c73112d7632da9b4d9bd38ea72ce45168be54f07f66cf3936f770d1cc8d3,PASS
p2-06_t3_08_peak_vp.png,Task 3,#08 peak,2026-09-05T15:35:10Z,150,8e7b43064c1284cee1611743fa87ceaabe65a9145eaf03e96df713d0194874ec,PASS
p2-06_t3_08_peak_win.png,Task 3,#08 peak,2026-09-05T15:35:10Z,151,45ff3b34445ea61ea6d0d736f1aa66a4a3bb62e5c82e9102c53886f1222e97a7,PASS
p2-06_t3_08_select_vp.png,Task 3,#08 select,2026-09-05T15:35:10Z,152,31287315ca8fe7c1779fe147cf29d5375ea460f2839b633f1a95fa809429536e,PASS
p2-06_t3_08_settled_vp.png,Task 3,#08 settled,2026-09-05T15:35:11Z,153,9934cb73c25a524d70a36f28cbd426edb2b216a7ee44340ff6e009f987f76f06,PASS
p2-06_t3_09_peak_vp.png,Task 3,#09 peak,2026-09-05T15:35:12Z,154,bb50a0596181fe8b61a54a6b32ac65dac21cdf1118efe487e298549fc9a24d14,PASS
p2-06_t3_09_peak_win.png,Task 3,#09 peak,2026-09-05T15:35:12Z,155,cc588dacc2dc9c2a0f01d50b1ebf5d58ee1caaf3f1a026c0c29f038f233d318f,PASS
p2-06_t3_09_select_vp.png,Task 3,#09 select,2026-09-05T15:35:11Z,156,b3cd252aa9f76349fd9ecd4bb90e547cff867dde958b9f41aad71f6681cb1f52,PASS
p2-06_t3_09_settled_vp.png,Task 3,#09 settled,2026-09-05T15:35:13Z,157,f83eec1646482cd3b0cd301ca76e5ec3d249bd460775244dce4b8d6d00ad9fdf,PASS
p2-06_t3_10_peak_vp.png,Task 3,#10 peak,2026-09-05T15:35:13Z,158,7654630972e794318da656a17a1273d6440c4be211eea970faaaa1f751641ff3,PASS
p2-06_t3_10_peak_win.png,Task 3,#10 peak,2026-09-05T15:35:14Z,159,05e8229d27ce1dafcec88fbc477bf6d7747efdb2a26b454bae608a102f00b026,PASS
p2-06_t3_10_select_vp.png,Task 3,#10 select,2026-09-05T15:35:13Z,160,e4e7138e98c9a1893a741568d37cc84517e86e3fdb0651ea563707f66263bffa,PASS
p2-06_t3_10_settled_vp.png,Task 3,#10 settled,2026-09-05T15:35:14Z,161,95057799ff1611ba0f4203e43ed04a6dd3c70c18e764d6e8c5ec3d4c0fe53749,PASS
p2-06_t3_11_peak_vp.png,Task 3,#11 peak,2026-09-05T15:35:15Z,162,0aea35f8132c5be95bc0c5ea67c322ae03b7a308c73a8989126142b66c722b57,PASS
p2-06_t3_11_peak_win.png,Task 3,#11 peak,2026-09-05T15:35:15Z,163,814e2ec8e5adcfebd2c1ab83d187659397a47845f3028aeb5504275dd1b90843,PASS
p2-06_t3_11_select_vp.png,Task 3,#11 select,2026-09-05T15:35:15Z,164,55441f2b93a4d77b8fe6a7b34824f8686c064743df5dc841c31d77a226014109,PASS
p2-06_t3_11_settled_vp.png,Task 3,#11 settled,2026-09-05T15:35:16Z,165,7c7d7f59657e1b0cb6ead1b44a16b92b55f58fdbaf95a6a2ffc0e11f8efdee7c,PASS
p2-06_t3_12_peak_vp.png,Task 3,#12 peak,2026-09-05T15:35:17Z,166,59bf5eb7f7433bc515aab8f58d519b60c6bae24bdc158697cfbcfd2f84a27fcf,PASS
p2-06_t3_12_peak_win.png,Task 3,#12 peak,2026-09-05T15:35:17Z,167,98f2389ce9f9dc0a69fd61fcf4252f7590c0a9c8ac9d4cfbdb5fd2a387ba2586,PASS
p2-06_t3_12_select_vp.png,Task 3,#12 select,2026-09-05T15:35:16Z,168,59389f0591318f89b0b0158b22d46fbe94e952fe52a077e724d3694bc96fdc26,PASS
p2-06_t3_12_settled_vp.png,Task 3,#12 settled,2026-09-05T15:35:18Z,169,637146b37789d5b62e8c9aaa820b8393c8d1ef41c8c7ee6dcdcf5a9d039f4266,PASS
p2-06_t3_13_peak_vp.png,Task 3,#13 peak,2026-09-05T15:35:18Z,170,20ffdd13edbff758c1861a70f509fb6ed38173b3101f73007f1c7fb114c8c0a3,PASS
p2-06_t3_13_peak_win.png,Task 3,#13 peak,2026-09-05T15:35:19Z,171,dbb373366cf62d01a38d7911ecefaf95e9658b9dda12966a04b5d1223e988593,PASS
p2-06_t3_13_select_vp.png,Task 3,#13 select,2026-09-05T15:35:18Z,172,cca93cd955ad3228a1ca2b252e72f10e42322a9006ad4bf4264e332335d54198,PASS
p2-06_t3_13_settled_vp.png,Task 3,#13 settled,2026-09-05T15:35:19Z,173,a9c7936dc168440635732fed3062df90925de2d5d823bc6d73009c9b6e6dab82,PASS
p2-06_t3_14_peak_vp.png,Task 3,#14 peak,2026-09-05T15:35:20Z,174,9f6e3eecce1a14cbbd71ce9ceff0b7ed21ab8a4fed810785ecd0c1bb1007e74d,PASS
p2-06_t3_14_peak_win.png,Task 3,#14 peak,2026-09-05T15:35:20Z,175,3a072c0c2bfe66373061b2f9458e2a62dfe412112fc6f1c4ad81fe9dc05b2bed,PASS
p2-06_t3_14_select_vp.png,Task 3,#14 select,2026-09-05T15:35:20Z,176,426eb5b5c3dc6d63e524096f5276989dfffbc21ec368a0bdfa8d784ca71e16e8,PASS
p2-06_t3_14_settled_vp.png,Task 3,#14 settled,2026-09-05T15:35:21Z,177,8d40ec7d0e3c193ca627e3a28817d85e27194f12dca8ad71fabf388cece47fb4,PASS
p2-06_t3_15_peak_vp.png,Task 3,#15 peak,2026-09-05T15:35:21Z,178,6549765df07b948f02ea904a2362eb29a0ef74c4478f35ea69d84c6c88e9a2fc,PASS
p2-06_t3_15_peak_win.png,Task 3,#15 peak,2026-09-05T15:35:22Z,179,c4c06566ccfe803a908e87b261372c0335af885fe28d4d074769f375c76af246,PASS
p2-06_t3_15_select_vp.png,Task 3,#15 select,2026-09-05T15:35:21Z,180,9fcae3bdb6a79c1d45cd6b9c956c8e352a001e401de733133190edbb748afaff,PASS
p2-06_t3_15_settled_vp.png,Task 3,#15 settled,2026-09-05T15:35:22Z,181,af31afdcfb6422bf82c8c9584d477a65611efc9b64caca73b6da601ff09e1fd2,PASS
